programAk,tradeName,displayTradeName,promptTradeName,socCode,description
1678,Stationary Engineer,Stationary Engineer,Stationary Engineer,51-8021.00,"A Stationary Engineer runs and watches building systems like boilers, chillers, pumps, turbines, and air-conditioning equipment. They check gauges, adjust controls, do routine maintenance, and respond when something overheats, leaks, or loses pressure. Their work keeps heat, cooling, water, and power systems running safely and reliably in hospitals, schools, and large buildings."
1692,Machinist (CNC),Machinist,Machinist (CNC),51-4041.00,"A CNC Machinist makes precise metal or plastic parts using computer-controlled machines. They read blueprints, set up tools and materials, load programs, watch cuts closely, and measure finished pieces to make sure they match exact sizes. Their work helps build and repair machines, vehicles, and equipment that people use every day and keeps them running properly."
1703,Sheet Metal Worker,Sheet Metal Worker,Sheet Metal Worker,47-2211.00,"A Sheet Metal Worker makes, installs, and repairs metal parts used in buildings and equipment. They measure and cut sheet metal, bend and shape it, and fasten ducts, vents, flashing, and panels using hand tools, power tools, and welding equipment. Their work helps heating, cooling, and building systems fit properly and keep running safely."
1708,Plumber,Plumber,Plumber,47-2152.00,"A Plumber installs, repairs, and maintains the pipes, fixtures, and equipment that carry water, gas, and waste in homes, buildings, and job sites. They cut and join pipe, clear blockages, fit sinks and toilets, test for leaks, and read plans. Their work keeps water flowing, waste moving out, and buildings safe and usable."
1719,Central Sterile Processing Technician,Central Sterile Processing Technician,Central Sterile Processing Technician,31-9093.00,"A Central Sterile Processing Technician cleans, disinfects, sterilizes, and organizes the tools and equipment used in hospitals and clinics. They inspect instruments, run sterilizing machines, wrap and label trays, track supplies, and deliver ready-to-use items to surgery and care areas. Their work helps keep medical equipment safe, clean, and ready for patient care."
1735,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
1775,Electrician,Electrician,Electrician,47-2111.00,"An Electrician installs, connects, tests, and repairs wiring, outlets, lights, circuit breakers, and electrical equipment in homes, buildings, and job sites. They read plans, run wire through walls and ceilings, use hand and power tools, and check that systems work safely. Their work keeps power flowing and buildings lit, working, and safer."
1789,"Bricklayer, Mason","Bricklayer, Mason","Bricklayer, Mason",47-2021.00,"A Bricklayer, Mason builds and repairs walls, chimneys, fireplaces, walkways, and other structures using brick, stone, and concrete block. They spread mortar, line up each course, cut materials to fit, and check that surfaces are level and straight. Their work helps create strong buildings and keeps homes, businesses, and outdoor spaces safe and durable."
1835,Software Developer,Software Developer,Software Developer,15-1251.00,"A Software Developer creates and updates computer programs, apps, and digital systems. They write code, test features, fix bugs, review how software works, and work with teammates to turn ideas into tools people can use on screens every day. Their work builds and keeps digital services running for communication, shopping, work, and daily tasks."
1880,Hazardous Materials Removal Worker,Hazardous Materials Removal Worker,Hazardous Materials Removal Worker,47-2061.00,"A Hazardous Materials Removal Worker finds, contains, removes, and disposes of dangerous materials such as asbestos, lead, mold, or chemical waste from buildings and work sites. They wear protective gear, seal off areas, use special tools, and clean surfaces safely. Their work helps keep homes, schools, and job sites safer and healthier to use."
1972,Carpenter(Piledriver/Dockbuilder),Carpenter,Carpenter(Piledriver/Dockbuilder),47-2031.00,"A Carpenter who works as a piledriver and dockbuilder builds and repairs heavy wooden structures in and around water. They drive piles deep into the ground, frame docks, bridges, and retaining walls, and use cranes, hammers, saws, and drills on busy outdoor job sites. Their work keeps waterfront structures strong, stable, and safe to use."
2002,Carpenter (Heavy-Highway),Carpenter,Carpenter (Heavy-Highway),47-2031.00,"A Carpenter in heavy-highway construction builds and installs wood forms, supports, and temporary structures used to shape concrete for bridges, roads, tunnels, and other large projects. They measure, cut, fasten, and brace materials, often working outdoors with saws, levels, and drills. Their work helps create strong structures and keeps transportation systems safe and functioning."
2009,Paperhanger,Paperhanger,Paperhanger,47-2142.00,"A Paperhanger covers interior walls and sometimes ceilings with wallpaper, vinyl, or fabric wall coverings. They measure rooms, smooth and patch surfaces, cut and match patterns, spread adhesive, and press coverings into place so seams line up cleanly. Their work gives rooms a finished look and helps protect walls in homes, offices, and public buildings."
2037,Metal Refinisher,Metal Refinisher,Metal Refinisher,51-9022.00,"A Metal Refinisher restores and improves the surface of metal parts and products. They clean, sand, grind, polish, buff, and coat metal to remove rust, scratches, and dull spots, and may match finishes or prepare pieces for painting or plating. Their work helps metal items look better, last longer, and resist wear and corrosion."
2048,Elevator Servicer and Repairer,Elevator Servicer and Repairer,Elevator Servicer and Repairer,47-4021.00,"An Elevator Servicer and Repairer installs, inspects, fixes, and maintains elevators, escalators, moving walkways, and lifts. They test controls, replace worn parts, adjust cables and doors, trace electrical or mechanical problems, and respond to breakdowns in homes, offices, hospitals, and malls. Their work keeps people and goods moving safely and equipment running reliably."
2082,Building Maintenance Mechanic,Building Maintenance Mechanic,Building Maintenance Mechanic,49-9071.00,"A Building Maintenance Mechanic keeps a building’s systems and equipment working properly. They inspect and repair heating, cooling, plumbing, lighting, doors, pumps, and other parts of the property, using hand and power tools to fix problems and do routine upkeep. Their work keeps buildings safe, comfortable, clean, and running day to day."
2088,Tile Setter (4 Year),Tile Setter,Tile Setter (),47-2044.00,"A Tile Setter covers floors, walls, showers, and backsplashes with tile in homes and other buildings. They measure spaces, spread adhesive, cut tile to fit around corners and pipes, set each piece in place, and finish joints with grout. Their work creates durable, easy-to-clean surfaces and helps keep rooms protected from wear and water."
